INFO - SiamFC-3s-gray-scratch - Running command 'main'
INFO - SiamFC-3s-gray-scratch - Started run with ID "2"
INFO - root - nvidia-ml-py is not installed, automatically select gpu is disabled!
INFO - root - preproces -- siamese_fc_gray
INFO - root - embedding init method -- kaiming_normal
INFO - root - preproces -- None
2018-03-12 23:33:28.203148: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-03-12 23:33:28.318571: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:895] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-03-12 23:33:28.318969: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: GeForce GTX 1050 major: 6 minor: 1 memoryClockRate(GHz): 1.493
pciBusID: 0000:01:00.0
totalMemory: 3.95GiB freeMemory: 3.37GiB
2018-03-12 23:33:28.318998: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1050, pci bus id: 0000:01:00.0, compute capability: 6.1)
INFO - root - Train for 332500 steps
INFO - root - 2018-03-12 23:33:37.970207: step 0, total loss = 3.03, batch loss = 2.47 (0.9 examples/sec; 9.224 sec/batch; 851h:54m:29s remains)
INFO:tensorflow:Logs/SiamFC/track_model_checkpoints/SiamFC-3s-gray-scratch/model.ckpt-0 is not in all_model_checkpoint_paths. Manually adding it.
INFO - tensorflow - Logs/SiamFC/track_model_checkpoints/SiamFC-3s-gray-scratch/model.ckpt-0 is not in all_model_checkpoint_paths. Manually adding it.
INFO - root - 2018-03-12 23:33:41.713877: step 10, total loss = 1.11, batch loss = 0.55 (33.2 examples/sec; 0.241 sec/batch; 22h:16m:36s remains)
INFO - root - 2018-03-12 23:33:43.913815: step 20, total loss = 0.82, batch loss = 0.26 (36.3 examples/sec; 0.220 sec/batch; 20h:21m:48s remains)
INFO - root - 2018-03-12 23:33:46.057218: step 30, total loss = 0.77, batch loss = 0.20 (36.6 examples/sec; 0.218 sec/batch; 20h:10m:36s remains)
INFO - root - 2018-03-12 23:33:48.224978: step 40, total loss = 0.70, batch loss = 0.13 (33.7 examples/sec; 0.237 sec/batch; 21h:53m:54s remains)
INFO - root - 2018-03-12 23:33:50.622819: step 50, total loss = 0.67, batch loss = 0.11 (38.8 examples/sec; 0.206 sec/batch; 19h:02m:04s remains)
INFO - root - 2018-03-12 23:33:52.822955: step 60, total loss = 0.69, batch loss = 0.13 (37.5 examples/sec; 0.213 sec/batch; 19h:42m:10s remains)
INFO - root - 2018-03-12 23:33:55.026037: step 70, total loss = 0.67, batch loss = 0.11 (35.0 examples/sec; 0.229 sec/batch; 21h:07m:03s remains)
INFO - root - 2018-03-12 23:33:57.205760: step 80, total loss = 0.69, batch loss = 0.13 (37.1 examples/sec; 0.216 sec/batch; 19h:54m:18s remains)
